frame_id,gesture,rep,activation_ratio,centroid_x,centroid_y,delta_ds_abs_p98,delta_ds_max,delta_ds_min,delta_l2,delta_q0_mean,delta_q1_mean,delta_q2_mean,delta_q3_mean,delta_rel_l2,elec_0_mean,elec_1_mean,elec_2_mean,elec_3_mean,elec_4_mean,elec_5_mean,elec_6_mean,elec_7_mean,global_kurtosis,global_mean,global_skew,global_std,q0_dorsal_absmax,q0_dorsal_active,q0_dorsal_mean,q1_radial_absmax,q1_radial_active,q1_radial_mean,q2_ventral_absmax,q2_ventral_active,q2_ventral_mean,q3_ulnar_absmax,q3_ulnar_active,q3_ulnar_mean,ring_inner_mean,ring_inner_std,ring_middle_mean,ring_middle_std,ring_outer_mean,ring_outer_std,summary_ds_abs_p98,summary_ds_max,summary_ds_min,summary_invalid_count,summary_rel_l2,summary_retry_count,summary_valid_count
0,paper,0,2.720306513e-01,-1.200879571e-01,-1.019050594e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-5.381158682e-01,-8.377201110e-01,9.055194814e-01,-4.581212431e+00,6.035963019e+00,-4.185858074e+00,4.884920452e+00,-3.694317144e+00,2.287819953e+00,-2.611249075e-01,2.072915060e-01,1.311586059e+01,2.760847855e+01,2.153846154e-01,-1.401941421e+00,2.535062599e+01,2.272727273e-01,-2.038262167e+00,4.451585388e+01,3.281250000e-01,1.590372375e+00,4.581406021e+01,3.181818182e-01,8.441524631e-01,-7.535332010e+00,1.784485726e+01,5.842831699e+00,1.502709054e+01,-3.269607443e+00,8.556225073e+00,3.950028229e+01,4.451585388e+01,-4.581406021e+01,1.800000000e+01,3.631455898e-01,1.900000000e+01,2.200000000e+01
1,paper,0,2.873563218e-01,-1.100008192e-01,-8.647529254e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.744812603e+01,-4.729169612e-01,-1.935470020e-02,-5.109779973e-02,8.214046812e-02,0.000000000e+00,-1.550998463e+00,1.082519479e-01,1.819646261e-01,-4.004664092e+00,5.850064579e+00,-4.446324702e+00,5.156070784e+00,-4.179260950e+00,2.078645667e+00,-3.755540300e-01,2.433366098e-01,1.433448275e+01,3.229956055e+01,2.615384615e-01,-1.874858383e+00,2.849880409e+01,2.272727273e-01,-2.057616867e+00,4.599366379e+01,3.125000000e-01,1.539274575e+00,4.866434479e+01,3.484848485e-01,9.262929313e-01,-8.506068894e+00,1.953796832e+01,6.868342165e+00,1.627671476e+01,-4.019118076e+00,9.068568691e+00,4.177577209e+01,4.738546371e+01,-4.866434479e+01,1.900000000e+01,4.832485020e-01,2.100000000e+01,2.100000000e+01
2,paper,0,2.988505747e-01,1.088577750e-01,3.125210639e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.061231174e+02,1.803082999e+00,1.838655706e+00,-1.299830120e+00,-9.752767255e-01,0.000000000e+00,-6.914587737e-01,1.395350854e+00,-1.036635890e+00,5.042125501e-01,1.252972644e-01,-1.893426406e-01,1.750537718e-02,-3.150091013e-01,1.812878203e+00,-2.691694210e-02,2.845618595e-01,2.724059866e+00,8.041069031e+00,2.615384615e-01,-7.177538333e-02,9.698884964e+00,4.696969697e-01,-2.189611614e-01,3.784873724e+00,1.250000000e-01,2.394444547e-01,6.113415718e+00,3.333333333e-01,-4.898379421e-02,-1.137616163e+00,3.736468992e+00,1.586518308e+00,2.923059017e+00,-9.405634724e-01,1.722603414e+00,7.409374237e+00,9.221564293e+00,-9.698884964e+00,1.900000000e+01,4.195321202e-01,1.900000000e+01,2.100000000e+01
3,paper,0,2.796934866e-01,-1.057886780e-01,-5.107248240e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,8.940897028e+01,-7.704691220e-01,-4.141162308e-01,4.235908651e-01,9.672987823e-01,0.000000000e+00,-5.029706021e-01,2.195722701e-01,1.550803655e-01,-1.408718767e+00,2.849391662e+00,-2.225084207e+00,2.944839271e+00,-1.772597447e+00,1.894270971e+00,2.495804196e-02,1.883259773e-01,7.127330500e+00,1.755135727e+01,2.769230769e-01,-8.422445053e-01,1.346193218e+01,2.121212121e-01,-6.330773922e-01,2.145862770e+01,2.812500000e-01,6.630353198e-01,2.453169632e+01,3.484848485e-01,9.183149881e-01,-2.195180876e+00,9.864619352e+00,3.296706477e+00,8.117781963e+00,-1.832437323e+00,4.758627740e+00,2.059344482e+01,2.453169632e+01,-2.396597290e+01,1.900000000e+01,4.570187330e-01,2.000000000e+01,2.100000000e+01
4,paper,0,2.758620690e-01,-1.342073960e-01,-8.383526010e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.218354071e+01,-9.473700074e-01,-7.034632710e-01,5.807666105e-01,6.711835492e-01,0.000000000e+00,-1.551782960e+00,1.915016486e-01,4.509477862e-01,-3.214699632e+00,5.404397304e+00,-4.382340102e+00,5.257175566e+00,-2.615518102e+00,2.197541102e+00,-7.672950228e-02,2.312102709e-01,1.260329715e+01,2.706085968e+01,2.461538462e-01,-1.789614513e+00,2.220481682e+01,2.121212121e-01,-1.336540663e+00,4.036206436e+01,2.812500000e-01,1.243801930e+00,4.429501343e+01,3.636363636e-01,1.589498537e+00,-5.260562000e+00,1.722373542e+01,6.056024860e+00,1.426857556e+01,-3.409256838e+00,8.295425856e+00,3.683946228e+01,4.253924942e+01,-4.429501343e+01,1.900000000e+01,4.744181335e-01,2.200000000e+01,2.100000000e+01
5,scissors,0,2.835249042e-01,-9.061268790e-02,-6.755465085e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.522330870e+00,7.992327609e-01,-5.398719436e-01,-1.771490168e+00,3.167446011e+00,-2.416327046e+00,2.571465373e+00,-2.247263720e+00,1.802926147e+00,-2.557758628e-01,2.735795861e-01,8.798191723e+00,2.174262047e+01,2.615384615e-01,-1.170454592e+00,1.921547508e+01,2.424242424e-01,-1.231860926e+00,2.702919769e+01,2.812500000e-01,9.980724885e-01,2.857122993e+01,3.484848485e-01,4.052762140e-01,-5.511577004e+00,1.206800326e+01,4.545333889e+00,9.858110975e+00,-2.690044698e+00,5.380912031e+00,2.465021515e+01,2.857122993e+01,-2.816136742e+01,1.900000000e+01,4.405235946e-01,2.000000000e+01,2.100000000e+01
6,scissors,0,2.605363985e-01,2.843124978e-01,1.521113753e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.248170699e+02,3.001940850e+00,5.218036243e+00,-1.506255565e-01,-6.559522324e-01,0.000000000e+00,-2.450330282e+00,7.529852513e+00,5.783448204e+00,-9.294749115e-01,1.571907116e+00,-2.025475267e-01,-6.395812200e-01,2.595692981e+00,2.064418568e+00,1.608529364e+00,1.074900356e+00,8.252680800e+00,2.930232811e+01,3.692307692e-01,1.831486258e+00,3.616912842e+01,6.060606061e-01,3.986175317e+00,6.976426601e+00,0.000000000e+00,8.474469320e-01,9.255301476e+00,6.060606061e-02,-2.506760184e-01,8.791209658e-01,6.876969520e+00,4.374573097e-01,8.607086494e+00,2.495616126e+00,8.085781969e+00,2.462402344e+01,3.616912842e+01,-1.457394886e+01,1.700000000e+01,4.603909850e-01,1.800000000e+01,2.300000000e+01
7,scissors,0,2.873563218e-01,-7.768166439e-02,-6.913974322e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.152038460e+02,-2.879939787e+00,-5.064709880e+00,1.736765805e-02,6.827294835e-01,0.000000000e+00,-1.283156166e+00,8.547493620e-01,-4.492716095e-01,-1.679492273e+00,2.923788236e+00,-2.303279576e+00,2.567512775e+00,-2.250969565e+00,1.701946820e+00,-2.125252800e-01,3.003253806e-01,8.016385467e+00,1.914756012e+01,2.461538462e-01,-1.048453529e+00,1.854757118e+01,2.575757576e-01,-1.078534563e+00,2.376043510e+01,2.968750000e-01,8.648145900e-01,2.603515434e+01,3.484848485e-01,4.320534651e-01,-4.797039480e+00,1.083120894e+01,4.262847577e+00,8.983434428e+00,-2.527532197e+00,4.877379302e+00,2.239065933e+01,2.603515434e+01,-2.566045570e+01,1.900000000e+01,4.725012183e-01,2.000000000e+01,2.100000000e+01
8,scissors,0,4.750957854e-01,1.186546018e-01,-1.229831701e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.692364375e+02,1.173808432e+00,5.188073918e+00,3.511784730e-01,1.321433244e+00,0.000000000e+00,-3.375088820e+00,6.602549612e+00,7.531823736e+00,-2.950803140e+00,5.296713256e+00,-3.493406597e+00,4.088013232e+00,1.326105569e+00,-2.274744599e-01,1.811997490e+00,2.999573611e-01,1.021078241e+01,2.303916931e+01,3.384615385e-01,1.253549034e-01,2.905636787e+01,7.272727273e-01,4.109539355e+00,2.063176537e+01,4.218750000e-01,1.215993063e+00,2.462516975e+01,4.090909091e-01,1.753486709e+00,1.897583297e+00,1.367763880e+01,2.625699282e+00,1.121810870e+01,1.257048366e+00,8.777326373e+00,2.363996887e+01,2.905636787e+01,-2.372130203e+01,1.700000000e+01,4.925455153e-01,1.700000000e+01,2.300000000e+01
9,scissors,0,2.911877395e-01,-1.105181142e-01,-8.296046277e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.905843802e+02,-1.653071554e+00,-5.797765992e+00,7.297364151e-02,-9.730844666e-01,0.000000000e+00,-1.106290714e+00,-6.384592317e-02,2.684063863e-01,-3.365600717e+00,4.973515447e+00,-3.753033575e+00,4.419033769e+00,-3.633635391e+00,2.069003642e+00,-2.939621580e-01,2.232791872e-01,1.182647900e+01,2.700973892e+01,2.461538462e-01,-1.527716651e+00,2.322423172e+01,2.424242424e-01,-1.688226637e+00,3.767328262e+01,3.281250000e-01,1.288966705e+00,4.034608459e+01,3.484848485e-01,7.804022428e-01,-6.945425437e+00,1.616551431e+01,5.691053619e+00,1.339247635e+01,-3.313967615e+00,7.508111477e+00,3.428144455e+01,3.908723068e+01,-4.034608459e+01,1.900000000e+01,4.494740963e-01,1.900000000e+01,2.100000000e+01
