frame_id,gesture,rep,activation_ratio,centroid_x,centroid_y,delta_ds_abs_p98,delta_ds_max,delta_ds_min,delta_l2,delta_q0_mean,delta_q1_mean,delta_q2_mean,delta_q3_mean,delta_rel_l2,elec_0_mean,elec_1_mean,elec_2_mean,elec_3_mean,elec_4_mean,elec_5_mean,elec_6_mean,elec_7_mean,global_kurtosis,global_mean,global_skew,global_std,q0_dorsal_absmax,q0_dorsal_active,q0_dorsal_mean,q1_radial_absmax,q1_radial_active,q1_radial_mean,q2_ventral_absmax,q2_ventral_active,q2_ventral_mean,q3_ulnar_absmax,q3_ulnar_active,q3_ulnar_mean,ring_inner_mean,ring_inner_std,ring_middle_mean,ring_middle_std,ring_outer_mean,ring_outer_std,summary_ds_abs_p98,summary_ds_max,summary_ds_min,summary_invalid_count,summary_rel_l2,summary_retry_count,summary_valid_count
10,rock,0,2.337164751e-01,1.752861132e-01,5.403966089e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.420110000e+02,1.682981654e+02,-1.353651336e+02,1.595186879e+02,-1.157268971e+02,1.463951094e+01,-4.788737357e+01,3.126250853e+01,2.967392945e+00,-9.112182781e+00,3.533426757e-02,3.589037447e+02,7.314357910e+02,1.538461538e-01,-3.535768170e+01,1.507784912e+03,4.545454545e-01,2.111173665e+01,6.295623169e+02,1.562500000e-01,-3.014039561e+01,7.332958374e+02,1.666666667e-01,6.902731881e+00,-1.588010842e+02,5.386988388e+02,1.399885290e+02,3.980689519e+02,-8.668302587e+01,2.478031880e+02,1.081485352e+03,1.233935059e+03,-1.507784912e+03,1.300000000e+01,6.798706651e-01,1.300000000e+01,2.700000000e+01
11,rock,0,2.643678161e-01,1.630082856e-01,9.433427129e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,8.694452173e+02,9.362564190e+00,1.684790744e+01,1.308737536e+01,-4.165307139e-01,0.000000000e+00,-1.328237126e+02,1.724852647e+02,-8.072179896e+01,1.234829149e+02,-7.860493764e+01,2.072512505e+01,-4.618278776e+01,3.265225037e+01,2.635291026e+00,5.837159143e-01,1.749500948e-01,3.217657074e+02,6.801024170e+02,1.846153846e-01,-2.599511750e+01,1.246677490e+03,5.000000000e-01,3.795964409e+01,6.197361450e+02,1.406250000e-01,-1.705302025e+01,7.088211670e+02,2.272727273e-01,6.486201167e+00,-1.701746560e+02,4.918779340e+02,1.425986776e+02,3.561864785e+02,-6.919066266e+01,2.126615796e+02,9.420263672e+02,1.101845459e+03,-1.246677490e+03,1.100000000e+01,7.074976563e-01,1.300000000e+01,2.900000000e+01
12,rock,0,2.222222222e-01,1.648148956e-01,-9.843204834e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.876222845e+03,6.339365982e+00,-2.219494372e+01,8.256004747e+00,-2.525097240e-01,0.000000000e+00,-7.149940506e+01,8.401513034e+01,-5.973045996e+01,7.549709214e+01,-4.548172319e+01,2.261898687e+01,-3.100755256e+01,1.626372746e+01,2.993932718e+00,-1.489421384e+00,1.432340367e-01,2.130953732e+02,4.137846069e+02,1.538461538e-01,-1.965575152e+01,8.548048096e+02,4.545454545e-01,1.576470037e+01,4.319236145e+02,1.250000000e-01,-8.797015499e+00,4.731505432e+02,1.515151515e-01,6.233691443e+00,-1.047284100e+02,3.333967794e+02,8.936152895e+01,2.321132166e+02,-4.700103577e+01,1.450832927e+02,6.410527344e+02,7.506733398e+02,-8.548048096e+02,1.400000000e+01,4.938465655e-01,1.500000000e+01,2.600000000e+01
13,rock,0,2.183908046e-01,1.631175204e-01,-1.043958279e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.187858588e+02,-1.785434155e+00,8.635772900e-01,-7.579092309e-02,1.031759130e+00,0.000000000e+00,-7.856685676e+01,9.216829505e+01,-6.655479467e+01,8.306287997e+01,-4.880836107e+01,2.365773487e+01,-3.268360727e+01,1.880817372e+01,2.973339546e+00,-1.473374011e+00,1.104440725e-01,2.257888285e+02,4.374547424e+02,1.538461538e-01,-2.144118568e+01,9.130968628e+02,4.545454545e-01,1.662827766e+01,4.523469849e+02,1.250000000e-01,-8.872806422e+00,4.945009766e+02,1.363636364e-01,7.265450573e+00,-1.088398671e+02,3.509855343e+02,9.350273133e+01,2.465533239e+02,-4.913316399e+01,1.547420551e+02,6.842087402e+02,7.940696411e+02,-9.130968628e+02,1.200000000e+01,5.776973963e-01,1.500000000e+01,2.800000000e+01
14,rock,0,2.337164751e-01,1.660073647e-01,1.447130327e-04,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.144654435e+02,-7.899941570e+00,8.577574257e-01,-5.257223910e+00,2.508224984e+00,0.000000000e+00,-1.091952020e+02,1.260272384e+02,-9.732233953e+01,1.139495005e+02,-7.042817421e+01,2.142846287e+01,-3.692482299e+01,2.562428392e+01,2.931842029e+00,-3.878752146e+00,2.526143258e-02,2.777736179e+02,5.640835571e+02,1.692307692e-01,-2.934112725e+01,1.153950439e+03,4.393939394e-01,1.748603509e+01,5.149865723e+02,1.406250000e-01,-1.413003033e+01,5.813699341e+02,1.818181818e-01,9.773675557e+00,-1.289276633e+02,4.211594358e+02,1.117864059e+02,3.057781277e+02,-6.275255793e+01,1.923095513e+02,8.375697632e+02,9.626445923e+02,-1.153950439e+03,1.300000000e+01,5.497315526e-01,1.500000000e+01,2.700000000e+01
15,scissors,1,2.413793103e-01,1.762741963e-01,9.884444016e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-5.810902050e+01,6.666231059e+01,-4.970653284e+01,5.865699016e+01,-3.452415839e+01,8.642498959e+00,-1.775613997e+01,9.065958314e+00,2.951000752e+00,-2.412343709e+00,1.198891617e-01,1.624723276e+02,3.450439148e+02,1.692307692e-01,-1.684125189e+01,6.580017700e+02,4.545454545e-01,9.377912839e+00,3.187448730e+02,1.250000000e-01,-7.466751321e+00,3.644593506e+02,2.121212121e-01,4.908931845e+00,-8.526697168e+01,2.506357999e+02,7.200943149e+01,1.762450930e+02,-3.994389393e+01,1.089663105e+02,4.945673828e+02,5.582275391e+02,-6.580017700e+02,1.200000000e+01,5.281625986e-01,1.200000000e+01,2.800000000e+01
16,scissors,1,2.337164751e-01,1.581003110e-01,-1.365500207e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.845692473e+02,1.562413574e-01,2.620962508e+00,3.011564265e+00,1.683250251e+00,0.000000000e+00,-5.956585209e+01,6.859567433e+01,-4.956056154e+01,6.059869533e+01,-3.237326797e+01,1.883315247e+01,-2.354878647e+01,1.481548530e+01,2.907082639e+00,-5.465435435e-01,8.010764625e-02,1.657347912e+02,3.236416016e+02,1.846153846e-01,-1.668501053e+01,6.709349365e+02,4.545454545e-01,1.199887535e+01,3.308639526e+02,1.250000000e-01,-4.455187056e+00,3.604365234e+02,1.666666667e-01,6.592182096e+00,-8.006964766e+01,2.563520976e+02,6.868000332e+01,1.808624813e+02,-3.510045543e+01,1.143834210e+02,5.022001343e+02,5.819092407e+02,-6.709349365e+02,1.200000000e+01,5.009750724e-01,1.300000000e+01,2.800000000e+01
17,scissors,1,2.337164751e-01,1.668177605e-01,-2.770823103e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.434805833e+03,-8.665076507e+00,5.017024858e+00,-8.942153362e+00,1.220298656e+00,0.000000000e+00,-9.541141043e+01,1.112806071e+02,-8.462020069e+01,1.018110123e+02,-6.414893264e+01,2.075286291e+01,-3.527323399e+01,2.266853222e+01,2.973971416e+00,-3.319970502e+00,5.961828672e-02,2.534552283e+02,5.048450317e+02,1.846153846e-01,-2.535008704e+01,1.045817261e+03,4.393939394e-01,1.701590020e+01,4.817859802e+02,1.406250000e-01,-1.339734042e+01,5.389740601e+02,1.666666667e-01,7.812480752e+00,-1.185732461e+02,3.877544325e+02,1.025550600e+02,2.784923151e+02,-5.709555482e+01,1.746434813e+02,7.635216064e+02,8.843453369e+02,-1.045817261e+03,1.300000000e+01,5.297209024e-01,1.500000000e+01,2.700000000e+01
18,scissors,1,2.260536398e-01,1.683616474e-01,-4.017540593e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.305253705e+03,8.645715757e+00,-4.621555860e+00,6.306162504e+00,-2.429332696e+00,0.000000000e+00,-5.915010928e+01,6.908044177e+01,-4.945767161e+01,6.198128959e+01,-3.625943876e+01,1.589435649e+01,-2.318603577e+01,1.204651100e+01,2.990148637e+00,-1.403467515e+00,1.409736877e-01,1.744614351e+02,3.469697571e+02,1.538461538e-01,-1.670437128e+01,7.009357300e+02,4.545454545e-01,1.239434434e+01,3.526228027e+02,1.250000000e-01,-7.091177914e+00,3.889003601e+02,1.666666667e-01,5.383148056e+00,-8.722836133e+01,2.721243569e+02,7.462748790e+01,1.897946618e+02,-3.957464078e+01,1.181853246e+02,5.258995972e+02,6.086381226e+02,-7.009357300e+02,1.200000000e+01,5.050815940e-01,1.200000000e+01,2.800000000e+01
19,scissors,1,2.260536398e-01,1.660054952e-01,-7.392861497e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.427542127e+02,9.733411330e-01,-2.354445132e-01,8.871457962e-01,-7.388497121e-02,0.000000000e+00,-5.582987323e+01,6.536269579e+01,-4.631785271e+01,5.852519661e+01,-3.360731775e+01,1.640851714e+01,-2.266188567e+01,1.198480381e+01,2.981090469e+00,-1.021748133e+00,1.416766494e-01,1.659428886e+02,3.256195068e+02,1.538461538e-01,-1.573103015e+01,6.651467896e+02,4.545454545e-01,1.215889983e+01,3.379458923e+02,1.250000000e-01,-6.204032118e+00,3.698687439e+02,1.666666667e-01,5.309263085e+00,-8.246927383e+01,2.592247290e+02,7.071137772e+01,1.805209675e+02,-3.696606787e+01,1.126774608e+02,4.987903748e+02,5.801320801e+02,-6.651467896e+02,1.100000000e+01,4.991250038e-01,1.100000000e+01,2.900000000e+01
