frame_id,gesture,rep,activation_ratio,centroid_x,centroid_y,delta_ds_abs_p98,delta_ds_max,delta_ds_min,delta_l2,delta_q0_mean,delta_q1_mean,delta_q2_mean,delta_q3_mean,delta_rel_l2,elec_0_mean,elec_1_mean,elec_2_mean,elec_3_mean,elec_4_mean,elec_5_mean,elec_6_mean,elec_7_mean,global_kurtosis,global_mean,global_skew,global_std,q0_dorsal_absmax,q0_dorsal_active,q0_dorsal_mean,q1_radial_absmax,q1_radial_active,q1_radial_mean,q2_ventral_absmax,q2_ventral_active,q2_ventral_mean,q3_ulnar_absmax,q3_ulnar_active,q3_ulnar_mean,ring_inner_mean,ring_inner_std,ring_middle_mean,ring_middle_std,ring_outer_mean,ring_outer_std,summary_ds_abs_p98,summary_ds_max,summary_ds_min,summary_invalid_count,summary_rel_l2,summary_retry_count,summary_valid_count
10,rock,0,3.716475096e-01,2.703956627e-02,-4.863402660e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.477801931e-02,1.992287813e-03,-8.242213604e-03,2.300189766e-01,-1.492214840e-01,9.968189794e-02,-2.045895660e-02,1.266877327e-01,6.899042190e-01,3.184938866e-02,1.977795433e-01,4.372823744e-01,1.152157068e+00,4.000000000e-01,-1.987408539e-02,1.403817892e+00,3.939393939e-01,1.186814972e-01,1.188010097e+00,3.593750000e-01,-5.060622518e-02,1.151693583e+00,3.333333333e-01,7.591402401e-02,6.105402293e-01,5.385766507e-01,-1.988006964e-01,4.877416326e-01,1.012236977e-01,2.378378347e-01,1.109263659e+00,1.403817892e+00,-1.072008610e+00,1.400000000e+01,8.740352839e-02,1.500000000e+01,2.600000000e+01
11,rock,0,3.946360153e-01,-4.230473081e-02,3.439939968e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.152913230e+01,6.862845980e-02,-2.249286322e-01,1.002978123e-01,-2.149914820e-01,0.000000000e+00,5.469013542e-02,-4.509330529e-02,-6.272561188e-02,-7.321808493e-02,8.580256585e-03,4.724706261e-02,-1.309714664e-01,-1.089501339e-01,3.824879179e-01,-3.770929971e-02,-1.134563227e-01,3.583814575e-01,9.843629003e-01,4.615384615e-01,4.875437441e-02,7.178553343e-01,3.181818182e-01,-1.062471350e-01,6.975482106e-01,3.125000000e-01,4.969158713e-02,1.081982970e+00,4.848484848e-01,-1.390774580e-01,-4.162378540e-01,4.329054814e-01,5.370250570e-02,4.365857986e-01,-4.344842248e-02,2.277973956e-01,9.680392146e-01,9.843629003e-01,-1.081982970e+00,1.400000000e+01,7.832162082e-02,1.400000000e+01,2.600000000e+01
12,rock,0,4.022988506e-01,-6.469042062e-02,-1.500585815e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.405110063e+00,5.359037067e-02,2.119742837e-03,-2.060143895e-02,-8.217256361e-03,0.000000000e+00,7.335042995e-02,-3.117067555e-02,-9.332430390e-02,-1.049185178e-02,-1.307252693e-01,1.966214240e-01,-2.457767720e-01,-1.728880258e-02,4.667128053e-01,-3.095663263e-02,-1.018857481e-01,4.694282210e-01,1.455624223e+00,4.000000000e-01,1.023447451e-01,1.191646457e+00,3.333333333e-01,-1.041273921e-01,9.405504465e-01,4.218750000e-01,2.909014818e-02,1.294262648e+00,4.545454545e-01,-1.472947144e-01,-4.676891643e-01,5.608869654e-01,3.091864391e-02,5.687966275e-01,-8.516656109e-03,3.270649300e-01,1.177294731e+00,1.455624223e+00,-1.294262648e+00,1.500000000e+01,1.438128501e-01,1.600000000e+01,2.500000000e+01
13,rock,0,4.406130268e-01,2.813673640e-02,9.246490774e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,6.199624513e+00,5.183947806e-03,3.535468181e-03,5.637514942e-03,5.047166146e-02,0.000000000e+00,1.403234662e-01,-1.126439602e-02,1.517176221e-03,-2.017609088e-01,4.696942268e-02,4.322960476e-02,-1.363108597e-01,-7.282819366e-03,2.366612358e-01,-1.462625669e-02,1.696485250e-01,5.254894871e-01,1.556988716e+00,6.000000000e-01,1.075286929e-01,1.135519743e+00,4.242424242e-01,-1.005919240e-01,9.028668404e-01,4.062500000e-01,3.472766312e-02,1.224882364e+00,3.333333333e-01,-9.682305291e-02,-5.269538723e-01,6.179967635e-01,2.041531968e-01,6.421762068e-01,-8.576478177e-02,3.076201977e-01,1.241451025e+00,1.556988716e+00,-1.224882364e+00,1.600000000e+01,1.279712319e-01,1.800000000e+01,2.400000000e+01
14,rock,0,2.490421456e-01,-4.849820765e-02,1.523245642e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.216846126e+01,-4.559496862e-03,-1.381954018e-02,-4.305310940e-04,-8.126645247e-02,0.000000000e+00,-1.885822166e-01,2.999180497e-01,-2.717864021e-01,1.470749192e-02,-1.374332764e-01,4.507571848e-02,-3.593014792e-01,2.860822611e-01,2.828951003e+00,-3.991206819e-02,4.640489041e-01,9.187875012e-01,3.461133003e+00,5.076923077e-01,1.029691960e-01,1.707172751e+00,1.212121212e-01,-1.144114641e-01,1.716832042e+00,1.875000000e-01,3.429713203e-02,1.862965465e+00,1.818181818e-01,-1.780895054e-01,-6.018573124e-01,1.317018252e+00,3.468202012e-01,1.039035535e+00,-2.157832330e-01,6.169972358e-01,2.837761164e+00,3.461133003e+00,-3.063158512e+00,1.600000000e+01,1.244656593e-01,1.700000000e+01,2.400000000e+01
15,paper,1,4.406130268e-01,-6.778647605e-02,3.406698053e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.342353163e-01,-4.608263489e-02,5.299322656e-04,-7.793791589e-02,2.028737491e-02,7.276095729e-02,-5.309027067e-02,-2.381969755e-01,4.760941333e-01,-2.190127919e-02,-4.989910366e-01,2.906979113e-01,5.093115568e-01,4.307692308e-01,5.485022666e-02,6.414766312e-01,4.545454545e-01,-6.565223394e-02,4.236094952e-01,3.437500000e-01,3.465000662e-02,9.394116998e-01,5.303030303e-01,-1.085765392e-01,-3.102441478e-02,2.097906747e-01,-5.199092571e-02,3.861879565e-01,-5.110575653e-04,2.150504151e-01,7.073826790e-01,6.646901369e-01,-9.394116998e-01,1.700000000e+01,1.097385138e-01,1.800000000e+01,2.300000000e+01
16,paper,1,3.984674330e-01,-8.865781873e-02,7.769213255e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,6.452396468e+00,-9.141147011e-03,7.023197284e-02,-3.831389031e-02,6.590541285e-02,0.000000000e+00,2.844716121e-01,-2.039682839e-01,1.313837600e-01,-4.377350354e-02,6.033427773e-02,-2.807182579e-02,1.381664475e-01,-3.490069253e-01,2.259056171e-01,8.527588205e-04,-4.143101350e-02,3.914382797e-01,1.011804104e+00,4.461538462e-01,4.570907965e-02,1.088542223e+00,3.181818182e-01,4.579738904e-03,7.878585458e-01,2.812500000e-01,-3.663883697e-03,9.935727715e-01,5.454545455e-01,-4.267112630e-02,3.540642849e-01,4.264374869e-01,-2.660061881e-01,3.742224685e-01,1.272487092e-01,2.760279497e-01,9.375640750e-01,1.088542223e+00,-9.935727715e-01,1.700000000e+01,1.186663955e-01,1.800000000e+01,2.300000000e+01
17,paper,1,3.793103448e-01,-1.336517510e-01,2.573426885e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,5.533805615e+00,-1.876924198e-02,-6.352592046e-02,2.847716564e-02,-7.223649585e-02,0.000000000e+00,1.067045525e-01,-3.354428683e-02,-1.579491657e-02,-5.244240784e-02,5.982638280e-04,6.693430739e-02,-2.014612107e-02,-3.136753546e-01,6.915945498e-01,-3.116939292e-02,-5.199834729e-01,2.951334037e-01,5.402371883e-01,2.769230769e-01,2.693983766e-02,6.305138469e-01,3.333333333e-01,-5.894618155e-02,4.687408507e-01,3.437500000e-01,2.481328195e-02,1.004604578e+00,5.606060606e-01,-1.149076222e-01,1.068265768e-01,2.589471253e-01,-1.222291201e-01,3.451502289e-01,9.412679640e-03,2.423341137e-01,7.944592237e-01,6.662612557e-01,-1.004604578e+00,1.700000000e+01,1.437622607e-01,1.800000000e+01,2.300000000e+01
18,paper,1,2.950191571e-01,-1.166514173e-01,7.692622764e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.712185856e+00,-3.787395386e-02,2.151426533e-03,6.079518731e-03,-8.471467278e-03,0.000000000e+00,9.127410651e-02,-8.307517009e-02,2.073707880e-02,-7.140558298e-02,4.091963371e-02,3.805434018e-02,8.213068533e-03,-3.826914949e-01,1.339508253e+00,-4.070901166e-02,-8.232821416e-01,2.810458889e-01,8.201954961e-01,2.000000000e-01,-1.093411620e-02,6.880246401e-01,3.333333333e-01,-5.679475502e-02,4.337325394e-01,1.250000000e-01,3.089280068e-02,1.029725671e+00,5.151515152e-01,-1.233790894e-01,1.446641052e-01,2.815309138e-01,-1.703755316e-01,3.136443299e-01,1.870175543e-02,2.151119258e-01,8.126572967e-01,6.334677935e-01,-1.029725671e+00,1.700000000e+01,1.538197994e-01,1.800000000e+01,2.300000000e+01
19,paper,1,4.022988506e-01,-2.016318107e-01,-1.116879610e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.283615338e+00,1.245050232e-02,-1.579766571e-02,-2.846709267e-02,-1.040717835e-02,0.000000000e+00,3.315700196e-02,-2.278384776e-02,-1.167590712e-01,7.844186732e-02,-1.108163616e-01,9.858088791e-02,-6.868593879e-02,-3.130002700e-01,2.073563991e-01,-5.121526066e-02,-2.749856159e-01,2.707862992e-01,5.390849710e-01,2.769230769e-01,1.516386122e-03,5.484203696e-01,2.121212121e-01,-7.259242073e-02,6.586956382e-01,4.375000000e-01,2.425708008e-03,8.236746788e-01,6.818181818e-01,-1.337862678e-01,-4.836436450e-02,2.287395445e-01,-1.692698677e-01,2.750541000e-01,2.707205503e-02,2.437495578e-01,6.661432981e-01,7.029505372e-01,-8.236746788e-01,1.800000000e+01,1.494030952e-01,1.800000000e+01,2.200000000e+01
